,batch,cluster_number,size
1398,497,0,646
1399,497,1,354
1400,498,0,310
1401,498,1,690
1402,499,0,152
1403,499,1,404
1404,499,2,444
1405,500,0,357
1406,500,1,643
1407,501,0,115
1408,501,1,885
1409,502,0,709
1410,502,1,291
1411,503,0,264
1412,503,1,736
1413,504,0,311
1414,504,1,138
1415,504,2,397
1416,504,3,154
1417,505,0,694
1418,505,1,306
1419,506,0,181
1420,506,1,387
1421,506,2,146
1422,506,3,49
1423,506,4,237
1424,507,0,516
1425,507,1,333
1426,507,2,151
1427,508,0,18
1428,508,1,204
1429,508,2,778
1430,509,0,459
1431,509,1,541
1432,510,0,352
1433,510,1,648
1434,511,0,23
1435,511,1,774
1436,511,2,132
1437,511,3,18
1438,511,4,53
1439,512,0,195
1440,512,1,533
1441,512,2,272
1442,513,0,723
1443,513,1,277
1444,514,0,550
1445,514,1,450
1446,515,0,513
1447,515,1,19
1448,515,2,212
1449,515,3,256
1450,516,0,223
1451,516,1,777
1452,517,0,560
1453,517,1,440
1454,518,0,707
1455,518,1,293
1456,519,0,513
1457,519,1,487
1458,520,0,615
1459,520,1,385
1460,521,0,106
1461,521,1,894
1462,522,0,204
1463,522,1,796
1464,523,0,514
1465,523,1,486
1466,524,0,811
1467,524,1,189
1468,525,0,60
1469,525,1,306
1470,525,2,537
1471,525,3,97
1472,526,0,149
1473,526,1,851
1474,527,0,769
1475,527,1,231
1476,528,0,294
1477,528,1,706
1478,529,0,178
1479,529,1,148
1480,529,2,674
1481,530,0,880
1482,530,1,120
1483,531,0,112
1484,531,1,397
1485,531,2,491
1486,532,0,123
1487,532,1,481
1488,532,2,396
1489,533,0,677
1490,533,1,323
1491,534,0,630
1492,534,1,370
1493,535,0,461
1494,535,1,400
1495,535,2,139
1496,536,0,162
1497,536,1,838
1498,537,0,70
1499,537,1,116
1500,537,2,404
1501,537,3,410
1502,538,0,159
1503,538,1,841
1504,539,0,333
1505,539,1,667
1506,540,0,547
1507,540,1,453
1508,541,0,290
1509,541,1,710
1510,542,0,804
1511,542,1,196
1512,543,0,89
1513,543,1,400
1514,543,2,511
1515,544,0,344
1516,544,1,656
1517,545,0,324
1518,545,1,676
1519,546,0,554
1520,546,1,446
1521,547,0,80
1522,547,1,444
1523,547,2,476
1524,548,0,344
1525,548,1,656
1526,549,0,514
1527,549,1,486
1528,550,0,483
1529,550,1,395
1530,550,2,122
1531,551,0,216
1532,551,1,784
1533,552,0,346
1534,552,1,578
1535,552,2,76
1536,553,0,359
1537,553,1,641
1538,554,0,386
1539,554,1,614
1540,555,0,397
1541,555,1,603
1542,556,0,85
1543,556,1,915
1544,557,0,611
1545,557,1,389
1546,558,0,245
1547,558,1,755
1548,559,0,672
1549,559,1,328
1550,560,0,49
1551,560,1,634
1552,560,2,213
1553,560,3,104
1554,561,0,164
1555,561,1,836
1556,562,0,105
1557,562,1,420
1558,562,2,475
1559,563,0,695
1560,563,1,305
1561,564,0,64
1562,564,1,802
1563,564,2,134
1564,565,0,24
1565,565,1,298
1566,565,2,678
1567,566,0,111
1568,566,1,460
1569,566,2,429
1570,567,0,65
1571,567,1,935
1572,568,0,74
1573,568,1,517
1574,568,2,409
1575,569,0,166
1576,569,1,834
1577,570,0,6
1578,570,1,55
1579,570,2,840
1580,570,3,17
1581,570,4,82
1582,571,0,203
1583,571,1,797
1584,572,0,602
1585,572,1,398
1586,573,0,143
1587,573,1,83
1588,573,2,179
1589,573,3,578
1590,573,4,17
1591,574,0,551
1592,574,1,449
1593,575,0,27
1594,575,1,698
1595,575,2,275
1596,576,0,384
1597,576,1,319
1598,576,2,297
1599,577,0,619
1600,577,1,381
1601,578,0,310
1602,578,1,641
1603,578,2,49
1604,579,0,488
1605,579,1,512
1606,580,0,41
1607,580,1,150
1608,580,2,17
1609,580,3,792
1610,581,0,405
1611,581,1,595
1612,582,0,116
1613,582,1,123
1614,582,2,116
1615,582,3,645
1616,583,0,153
1617,583,1,847
1618,584,0,368
1619,584,1,632
1620,585,0,368
1621,585,1,632
1622,586,0,14
1623,586,1,17
1624,586,2,969
1625,587,0,56
1626,587,1,944
1627,588,0,334
1628,588,1,613
1629,588,2,53
1630,589,0,17
1631,589,1,301
1632,589,2,497
1633,589,3,185
1634,590,0,608
1635,590,1,392
1636,591,0,823
1637,591,1,93
1638,591,2,84
1639,592,0,17
1640,592,1,748
1641,592,2,235
1642,593,0,895
1643,593,1,105
1644,594,0,68
1645,594,1,932
1646,595,0,94
1647,595,1,17
1648,595,2,889
1649,596,0,673
1650,596,1,188
1651,596,2,139
1652,597,0,601
1653,597,1,399
1654,598,0,4
1655,598,1,19
1656,598,2,977
1657,599,0,696
1658,599,1,304
