,batch,cluster_number,size
1168,400,4,308
1169,401,0,37
1170,401,1,537
1171,401,2,426
1172,402,0,36
1173,402,1,964
1174,403,0,55
1175,403,1,35
1176,403,2,28
1177,403,3,597
1178,403,4,29
1179,403,5,52
1180,403,6,204
1181,404,0,33
1182,404,1,167
1183,404,2,433
1184,404,3,325
1185,404,4,42
1186,405,0,46
1187,405,1,954
1188,406,0,939
1189,406,1,61
1190,407,0,30
1191,407,1,318
1192,407,2,652
1193,408,0,523
1194,408,1,29
1195,408,2,448
1196,409,0,56
1197,409,1,62
1198,409,2,882
1199,410,0,27
1200,410,1,93
1201,410,2,137
1202,410,3,743
1203,411,0,448
1204,411,1,98
1205,411,2,428
1206,411,3,26
1207,412,0,38
1208,412,1,772
1209,412,2,85
1210,412,3,105
1211,413,0,89
1212,413,1,246
1213,413,2,25
1214,413,3,640
1215,414,0,72
1216,414,1,821
1217,414,2,24
1218,414,3,83
1219,415,0,51
1220,415,1,286
1221,415,2,21
1222,415,3,23
1223,415,4,502
1224,415,5,117
1225,416,0,22
1226,416,1,296
1227,416,2,682
1228,417,0,222
1229,417,1,757
1230,417,2,21
1231,418,0,44
1232,418,1,956
1233,419,0,106
1234,419,1,385
1235,419,2,39
1236,419,3,20
1237,419,4,450
1238,420,0,19
1239,420,1,981
1240,421,0,72
1241,421,1,789
1242,421,2,139
1243,422,0,127
1244,422,1,429
1245,422,2,444
1246,423,0,427
1247,423,1,556
1248,423,2,17
1249,424,0,151
1250,424,1,849
1251,425,0,142
1252,425,1,858
1253,426,0,202
1254,426,1,35
1255,426,2,135
1256,426,3,628
1257,427,0,56
1258,427,1,944
1259,428,0,735
1260,428,1,265
1261,429,0,127
1262,429,1,758
1263,429,2,115
1264,430,0,890
1265,430,1,110
1266,431,0,46
1267,431,1,880
1268,431,2,74
1269,432,0,223
1270,432,1,777
1271,433,0,573
1272,433,1,427
1273,434,0,863
1274,434,1,137
1275,435,0,35
1276,435,1,453
1277,435,2,512
1278,436,0,900
1279,436,1,100
1280,437,0,61
1281,437,1,639
1282,437,2,61
1283,437,3,239
1284,438,0,695
1285,438,1,305
1286,439,0,546
1287,439,1,454
1288,440,0,477
1289,440,1,523
1290,441,0,864
1291,441,1,136
1292,442,0,295
1293,442,1,705
1294,443,0,577
1295,443,1,423
1296,444,0,338
1297,444,1,264
1298,444,2,398
1299,445,0,57
1300,445,1,824
1301,445,2,119
1302,446,0,954
1303,446,1,46
1304,447,0,884
1305,447,1,116
1306,448,0,573
1307,448,1,427
1308,449,0,42
